ResponseId,question_profile,politician_choice,Democracy,Economy,Welfare,Gender,Diversity,age,yob,female,province_birth,education_nk,year_defection,year_arrived_sk,years_in_nk,years_in_sk,current_residence
126,1.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,10.1,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,10.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,2.1,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,2.2,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,3.1,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,3.2,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,4.1,0,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,4.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,5.1,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,5.2,1,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,6.1,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,6.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,7.1,0,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,7.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,8.1,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,8.2,1,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,9.1,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
126,9.2,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,66,1957,0,함경남도,대학교 (3-4년) 졸업,2004,2014,47,9,서울
127,1.1,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,1.2,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,10.1,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,10.2,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,2.1,1,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,2.2,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,3.1,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,3.2,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,4.1,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,4.2,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,5.1,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
127,5.2,0,민주주의는 경제력을 악화시킨다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,53,1970,0,함경북도,대학교 (3-4년) 졸업,2009,2009,39,14,서울
